Quaternary,Quat_code
P10E,14010005
P10F,14010006
P10G,14010007
P20A,14020001
P20B,14020002
P30A,14030001
P30B,14030002
P30C,14030003
P40A,14040001
P40B,14040002
P40C,14040003
P40D,14040004
Q11A,15010101
Q11B,15010102
Q11C,15010103
Q11D,15010104
Q12A,15010201
Q12B,15010202
Q12C,15010203
Q13A,15010301
Q13B,15010302
Q13C,15010303
Q14A,15010401
Q14B,15010402
Q14C,15010403
Q14D,15010404
Q14E,15010405
Q21A,15020101
Q21B,15020102
Q22A,15020201
Q22B,15020202
Q30A,15030001
Q30B,15030002
Q30C,15030003
Q30D,15030004
Q30E,15030005
Q41A,15040101
Q41B,15040102
Q41C,15040103
Q41D,15040104
Q42A,15040201
Q42B,15040202
Q43A,15040301
Q43B,15040302
Q44A,15040401
Q44B,15040402
Q44C,15040403
Q50A,15050001
Q50B,15050002
Q50C,15050003
Q60A,15060001
Q60B,15060002
Q60C,15060003
Q70A,15070001
Q70B,15070002
Q70C,15070003
Q80A,15080001
Q80B,15080002
Q80C,15080003
Q80D,15080004
Q80E,15080005
Q80F,15080006
Q80G,15080007
Q91A,15090101
Q91B,15090102
Q91C,15090103
Q92A,15090201
Q92B,15090202
Q92C,15090203
Q92D,15090204
Q92E,15090205
Q92F,15090206
Q92G,15090207
Q93A,15090301
Q93B,15090302
Q93C,15090303
Q93D,15090304
Q94A,15090401
Q94B,15090402
Q94C,15090403
Q94D,15090404
Q94E,15090405
Q94F,15090406
R10A,16010001
R10B,16010002
R10C,16010003
R10D,16010004
R10E,16010005
R10F,16010006
R10G,16010007
R10H,16010008
R10J,16010009
R10K,16010010
R10L,16010011
R10M,16010012
R20A,16020001
R20B,16020002
R20C,16020003
R20D,16020004
R20E,16020005
R20F,16020006
R20G,16020007
R30A,16030001
R30B,16030002
R30C,16030003
R30D,16030004
R30E,16030005
R30F,16030006
R40A,16040001
R40B,16040002
R40C,16040003
R50A,16050001
R50B,16050002
S10A,17010001
S10B,17010002
S10C,17010003
S10D,17010004
S10E,17010005
S10F,17010006
S10G,17010007
S10H,17010008
S10J,17010009
S20A,17020001
S20B,17020002
S20C,17020003
S20D,17020004
S31A,17030101
S31B,17030102
S31C,17030103
S31D,17030104
S31E,17030105
S31F,17030106
S31G,17030107
S32A,17030201
S32B,17030202
S32C,17030203
S32D,17030204
S32E,17030205
S32F,17030206
S32G,17030207
S32H,17030208
S32J,17030209
S32K,17030210
S32L,17030211
S32M,17030212
S40A,17040001
S40B,17040002
S40C,17040003
S40D,17040004
S40E,17040005
S40F,17040006
S50A,17050001
S50B,17050002
S50C,17050003
S50D,17050004
S50E,17050005
S50F,17050006
S50G,17050007
S50H,17050008
S50J,17050009
S60A,17060001
S60B,17060002
S60C,17060003
S60D,17060004
S60E,17060005
S70A,17070001
S70B,17070002
S70C,17070003
S70D,17070004
S70E,17070005
S70F,17070006
T11A,18010101
T11B,18010102
T11C,18010103
T11D,18010104
T11E,18010105
T11F,18010106
T11G,18010107
T11H,18010108
T12A,18010201
T12B,18010202
T12C,18010203
T12D,18010204
T12E,18010205
T12F,18010206
T12G,18010207
T13A,18010301
T13B,18010302
T13C,18010303
T13D,18010304
T13E,18010305
T20A,18020001
T20B,18020002
T20C,18020003
T20D,18020004
T20E,18020005
T20F,18020006
T20G,18020007
T31A,18030101
T31B,18030102
T31C,18030103
T31D,18030104
T31E,18030105
T31F,18030106
T31G,18030107
T31H,18030108
T31J,18030109
T32A,18030201
T32B,18030202
T32C,18030203
T32D,18030204
T32E,18030205
T32F,18030206
T32G,18030207
T32H,18030208
T33A,18030301
T33B,18030302
T33C,18030303
T33D,18030304
T33E,18030305
T33F,18030306
T33G,18030307
T33H,18030308
T33J,18030309
T33K,18030310
T34A,18030401
T34B,18030402
T34C,18030403
T34D,18030404
T34E,18030405
T34F,18030406
T34G,18030407
T34H,18030408
T34J,18030409
T34K,18030410
T35A,18030501
T35B,18030502
T35C,18030503
T35D,18030504
T35E,18030505
T35F,18030506
T35G,18030507
T35H,18030508
T35J,18030509
T35K,18030510
T35L,18030511
T35M,18030512
T36A,18030601
T36B,18030602
T40A,18040001
T40B,18040002
T40C,18040003
T40D,18040004
T40E,18040005
T40F,18040006
T40G,18040007
T51A,18050101
T51B,18050102
T51C,18050103
T51D,18050104
T51E,18050105
T51F,18050106
T51G,18050107
T51H,18050108
T51J,18050109
T52A,18050201
T52B,18050202
T52C,18050203
T52D,18050204
T52E,18050205
T52F,18050206
T52G,18050207
T52H,18050208
T52J,18050209
T52K,18050210
T52L,18050211
T52M,18050212
T60A,18060001
T60B,18060002
T60C,18060003
T60D,18060004
T60E,18060005
T60F,18060006
T60G,18060007
T60H,18060008
T60J,18060009
T60K,18060010
T70A,18070001
T70B,18070002
T70C,18070003
T70D,18070004
T70E,18070005
T70F,18070006
T70G,18070007
T80A,18080001
T80B,18080002
T80C,18080003
T80D,18080004
T90A,18090001
